Rank,Empresa,Setor,Volume 2024 (tCO2e),Volume 2025 (tCO2e),Delta (%),Delta (tCO2),Volume 2026 (YTD)
1,Natura Cosméticos SA,Bens de Consumo,611.9,400.6,"-34,53%",-211.3,185
2,Petrobras,Energia e Utilidades,227.1,373.1,"+64,29%",+146.000,195
3,Localiza Rent a Car,Transporte e Logística,67,262.4,"+291,64%",+195.400,115
4,Vale S.A.,Mineração e Metais,180,210,"+16,67%",+30.000,95
5,Suzano S.A.,Papel e Celulose,150,175,"+16,67%",+25.000,80
6,Klabin S.A.,Papel e Celulose,120,135,"+12,50%",+15.000,62
7,JBS S.A.,Alimentos e Agronegócio,95,115,"+21,05%",+20.000,50
8,Raízen S.A.,Energia e Biocombustíveis,80,105,"+31,25%",+25.000,48
9,Ambev S.A.,Bens de Consumo,85,92,"+8,24%",+7.000,42
10,Itaú Unibanco,Financeiro,75,88,"+17,33%",+13.000,40
11,Banco Bradesco,Financeiro,70,78,"+11,43%",+8.000,35
12,Gerdau S.A.,Siderurgia e Metais,60,68,"+13,33%",+8.000,31
13,Engie Brasil,Energia e Utilidades,55,62,"+12,73%",+7.000,29
14,Marfrig Global Foods,Alimentos e Agronegócio,48,56,"+16,67%",+8.000,26
15,Cosan S.A.,Energia e Logística,45,52,"+15,56%",+7.000,24
16,Eletrobras,Energia e Utilidades,42,48,"+14,29%",+6.000,22
17,Auren Energia,Energia e Utilidades,35,44,"+25,71%",+9.000,21
18,Ambipar Group,Serviços Ambientais,30,41,"+36,67%",+11.000,20
19,Telefônica Brasil (Vivo),Tecnologia e Telecom,16.2,26.4,"+62,96%",+10.200,13
20,Banco do Brasil,Financeiro,18.9,18.6,"-1,59%",-300,9
21,Vibra Energia,Energia e Utilidades,15,17.5,"+16,67%",+2.500,8
22,Ultrapar,Conglomerados,14,16.2,"+15,71%",+2.200,7.5
23,CPFL Energia,Energia e Utilidades,13,15,"+15,38%",+2.000,7
24,Neoenergia,Energia e Utilidades,12.5,14.2,"+13,60%",+1.700,6.8
25,Cielo S.A.,Financeiro,11,3.1,-71.82%,-7.9,1.5
26,PagSeguro Digital,Financeiro,9.8,8.2,"-16,33%",-1.6,4
27,M. Dias Branco,Alimentos e Agronegócio,1,6,"+500,00%",+5.000,3.2
28,Lojas Renner,Bens de Consumo,4.6,4.4,"-4,35%",-200,2.1
29,WEG S.A.,Bens de Capital,8.5,9.8,"+15,29%",+1.300,4.6
30,Embraer,Aeroespacial e Defesa,8,9.2,"+15,00%",+1.200,4.3
31,Cemig,Energia e Utilidades,7.5,8.6,"+14,67%",+1.100,4
32,Copel,Energia e Utilidades,7.2,8.3,"+15,28%",+1.100,3.9
33,SLC Agrícola,Alimentos e Agronegócio,6.8,8,"+17,65%",+1.200,3.8
34,BrasilAgro,Alimentos e Agronegócio,6,7.2,"+20,00%",+1.200,3.5
35,Carrefour Brasil,Varejo,5.8,6.9,"+18,97%",+1.100,3.2
36,Grupo Pão de Açúcar,Varejo,5.5,6.4,"+16,36%",+900,3
37,Azul Linhas Aéreas,Transporte e Logística,5.2,6.1,"+17,31%",+900,2.8
38,Gol Linhas Aéreas,Transporte e Logística,5,5.8,"+16,00%",+800,2.5
39,Rumo S.A.,Transporte e Logística,4.8,5.6,"+16,67%",+800,2.6
40,Santos Brasil,Transporte e Logística,4.5,5.3,"+17,78%",+800,2.4
41,Dexco S.A.,Materiais de Construção,4.2,5,"+19,05%",+800,2.3
42,Movida,Transporte e Logística,4,4.8,"+20,00%",+800,2.2
43,CCR S.A.,Infraestrutura,3.8,4.5,"+18,42%",+700,2.1
44,EcoRodovias,Infraestrutura,3.6,4.2,"+16,67%",+600,1.9
45,BRF S.A.,Alimentos e Agronegócio,3.5,4.1,"+17,14%",+600,1.8
46,Minerva Foods,Alimentos e Agronegócio,3.3,3.9,"+18,18%",+600,1.7
47,Braskem S.A.,Química e Petroquímica,3.1,3.7,"+19,35%",+600,1.6
48,Usiminas S.A.,Siderurgia e Metais,3,3.5,"+16,67%",+500,1.5
49,B3 S.A.,Infraestrutura de Mercado,2.8,3.3,"+17,86%",+500,1.4
50,ISA CTEEP,Energia e Utilidades,2.5,3,"+20,00%",+500,1.3
,,,,,,,
,,,,,,,
"Nota de Mercado: O crescimento expressivo em setores como Transportes (ex: Localiza) reflete a compensação de emissões de frotas voltadas ao consumidor final. Por outro lado, oscilações negativas (como a da Natura entre 2024 e 2025) decorrem de ciclos plurianuais de aquisições massivas, onde as empresas estocam créditos de grandes projetos de conservação (REDD+) e reduzem as compras no ano subsequente para consumir o inventário interno.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Relatórios de Mercado e Plataformas de Dados Analíticos,,,,,,,
,,,,,,,
"SINTROPIA. Top 50 Carbono Brasil 2026: Ranking Créditos de Carbono. [S. l.], 2026. Disponível em: https://sintropia.space/carbono/ranking-brasil. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"SYLVERA. Análise do Mercado de Carbono no Brasil: Preços, Aposentadorias e Perspectivas Regulatórias. [S. l.], 2025. Disponível em: https://www.sylvera.com/pt-br/blog/brazil-carbon-market-analysis. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"INTERNATIONAL CHAMBER OF COMMERCE (ICC BRASIL); WAYCARBON. Oportunidades para o Brasil em Mercados de Carbono: Relatório de Macroinditadores. São Paulo: ICC Brasil, 2024. Disponível em: https://www.iccbrasil.org. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
Registros Oficiais Certificadores (Dados Primários de Aposentadoria de Créditos),,,,,,,
,,,,,,,
"GOLD STANDARD. Gold Standard Impact Registry. Genebra: GS, 2026. Disponível em: https://registry.goldstandard.org. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"VERRA. Verified Carbon Standard (VCS) Registry. Washington, DC: Verra, 2026. Disponível em: https://registry.verra.org. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
Relatórios de Sustentabilidade e Inventários de Gases de Efeito Estufa (GEE),,,,,,,
,,,,,,,
Os volumes corporativos específicos (corporate offsets) são auditados e extraídos diretamente das demonstrações financeiras e relatórios ESG anuais enviados pelas próprias companhias aos órgãos reguladores e balanços de mercado:,,,,,,,
,,,,,,,
"LOCALIZA RENT A CAR S.A. Relatório de Sustentabilidade e Inventário Anual de Emissões de GEE 2024-2025. Belo Horizonte: Localiza, 2025. Disponível em: https://ri.localiza.com. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"NATURA &CO. Relatório de Impacto, Gestão e Sustentabilidade 2024/2025. São Paulo: Natura, 2025. Disponível em: https://www.natura.com.br. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"PETRÓLEO BRASILEIRO S.A. (PETROBRAS). Relatório de Sustentabilidade 2024 e 2025: Estratégia de Transição Energética e Descarbonização. Rio de Janeiro: Petrobras, 2025. Disponível em: https://www.petrobras.com.br. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"PROGRAMA BRASILEIRO GHG PROTOCOL. Registro Público de Emissões. São Paulo: Centro de Estudos em Sustentabilidade da FGV (FGV Cesp), 2025. Disponível em: https://www.registropublicodeemissoes.com.br. Acesso em: 8 jun. 2026.",,,,,,,
