Rank,Empresa,Setor,Volume 2024 (tCO2e),Volume 2025 (tCO2e),Delta (%),Delta (tCO2),Volume 2026 (YTD)
1,Shell,Energia / Óleo e Gás,22.480.000,9.750.000,"-56,63%",-12.730.000,4.200.000
2,Eni,Energia / Óleo e Gás,10.020.000,8.900.000,"-11,18%",-1.120.000,3.800.000
3,Microsoft,Tecnologia,5.100.000,6.800.000,"+33,33%",+1.700.000,2.900.000
4,Delta Air Lines,Aviação,4.500.000,4.100.000,"-8,89%",-400,1.750.000
5,Walt Disney Company,Entretenimento,1.660.000,1.850.000,"+11,45%",+190.000,780
6,CPC Corporation,Industrial / Refino,1.680.000,1.550.000,"-7,74%",-130,690
7,Apple,Tecnologia,910,1.200.000,"+31,87%",+290.000,510
8,Volkswagen Group,Automotivo,1.200.000,1.150.000,"-4,17%",-50,480
9,BHP,Mineração,1.100.000,1.080.000,"-1,82%",-20,440
10,BP,Energia / Óleo e Gás,1.350.000,1.050.000,"-22,22%",-300,410
11,Google (Alphabet),Tecnologia,850,1.020.000,"+20,00%",+170.000,490
12,Amazon,Varejo / Tecnologia,780,950,"+21,79%",+170.000,430
13,JPMorgan Chase,Financeiro,620,840,"+35,48%",+220.000,390
14,Primax,Energia,710,790,"+11,27%",+80.000,310
15,Guacolda Energía,Energia / Utilidades,680,720,"+5,88%",+40.000,285
16,South Pole,Intermediário / Desenvolvedor,850,710,"-16,47%",-140,290
17,Meta Platforms,Tecnologia,520,680,"+30,77%",+160.000,310
18,TotalEnergies,Energia / Óleo e Gás,800,650,"-18,75%",-150,240
19,Chevron,Energia / Óleo e Gás,720,630,"-12,50%",-90,220
20,3Degrees,Intermediário / Mercado,610,620,"+1,64%",+10.000,250
21,Climate Impact Partners,Intermediário / Soluções,640,600,"-6,25%",-40,235
22,EasyJet,Aviação,650,580,"-10,77%",-70,210
23,Iberdrola,Energia / Utilidades,540,560,"+3,70%",+20.000,240
24,JetBlue Airways,Aviação,510,490,"-3,92%",-20,185
25,Salesforce,Tecnologia,380,480,"+26,32%",+100.000,215
26,Netflix,Entretenimento,410,440,"+7,32%",+30.000,190
27,Goldman Sachs,Financeiro,350,420,"+20,00%",+70.000,180
28,Woodside Energy,Energia,450,410,"-8,89%",-40,165
29,Rio Tinto,Mineração,430,390,"-9,30%",-40,150
30,Boeing,Aeroespacial,380,370,"-2,63%",-10,140
31,Unilever,Bens de Consumo,310,350,"+12,90%",+40.000,155
32,Nestlé,Alimentos e Bebidas,340,330,"-2,94%",-10,130
33,Stripe,Finanças / Tecnologia,180,320,"+77,78%",+140.000,165
34,Shopify,E-commerce / Tecnologia,190,310,"+63,16%",+120.000,150
35,Petrobras,Energia / Óleo e Gás,280,290,"+3,57%",+10.000,120
36,Natura &Co,Cosméticos,250,280,"+12,00%",+30.000,135
