Rank,Empresa,site,Setor,Papel,2024,2025,Δ%
1,AXIA Energia,axia.com.br,Energia,Gerador / Comercializador,N/D,"11,9 Mi",N/D
2,Voltalia,voltalia.com,Energia,Gerador,"1,4 Mi",N/D,N/D
3,Comerc Energia,comerc.com.br,Energia / Gestão,Comercializador,N/D,N/D,N/D
4,Engie Brasil,engie.com.br,Energia,Gerador / Comercializador,N/D,N/D,N/D
5,Auren Energia,aurenenergia.com.br,Energia,Gerador / Comercializador,N/D,N/D,N/D
6,Cemig,cemig.com.br,Energia,Gerador / Comercializador,N/D,N/D,N/D
7,Copel,copel.com,Energia,Gerador / Comercializador,N/D,N/D,N/D
8,CPFL Energia,cpfl.com.br,Energia,Gerador / Comercializador,N/D,N/D,N/D
9,Neoenergia,neoenergia.com,Energia,Gerador / Comercializador,N/D,N/D,N/D
10,CTG Brasil,ctgbr.com.br,Energia,Gerador,N/D,N/D,N/D
11,EDP Brasil,edp.com.br,Energia,Gerador / Comercializador,N/D,N/D,N/D
12,Matrix Energia,matrixenergia.com,Energia,Comercializador,N/D,N/D,N/D
13,2W Ecobank,2wecobank.com.br,Energia / Finanças,Comercializador,N/D,N/D,N/D
14,Braskem,braskem.com.br,Petroquímico,Consumidor / Comprador,N/D,N/D,N/D
15,Itaú Unibanco,itau.com.br,Bancário,Consumidor / Comprador,N/D,N/D,N/D
16,Leroy Merlin,leroymerlin.com.br,Varejo,Consumidor / Comprador,N/D,N/D,N/D
17,Ambev,ambev.com.br,Bebidas,Consumidor / Comprador,N/D,N/D,N/D
,,,,,,,
,,,,,,,
O que os dados públicos revelam sobre os líderes:,,,,,,,
,,,,,,,
"AXIA Energia: Consolidou-se na liderança geral de emissões em 2025 ao atingir a marca histórica de 11,9 milhões de certificados emitidos no ano, detendo mais de 18% de participação no mercado nacional.",,,,,,,
,,,,,,,
"Voltalia: Teve papel de destaque sendo reconhecida pelo Instituto Totum como a maior emissora da vertente REC Brazil em 2024, comercializando mais de 1,4 milhão de títulos com foco nos Objetivos de Desenvolvimento Sustentável (ODS).",,,,,,,
,,,,,,,
"Grandes Compradores (Braskem, Itaú, Leroy): São os principais motores do lado do consumo, utilizando esses certificados especificamente para mitigar e zerar suas emissões de Escopo 2 (emissões indiretas por consumo de energia).",,,,,,,
,,,,,,,
"O Cenário Macro: Embora os dados individuais sejam restritos, os números consolidados do setor são abertos e gigantescos. O Brasil fechou o ano de 2024 com quase 50 milhões de certificados I-REC emitidos, o que nos coloca como o segundo maior mercado do mundo em volume de rastreamento de energia renovável, ficando atrás apenas da China. Cada certificado equivale a 1 MWh gerado e consumido.",,,,,,,
,,,,,,,
,,,,,,,
Referências Bibliográficas,,,,,,,
,,,,,,,
"AXIA ENERGIA. AXIA Energia é reconhecida como maior emissora de I-RECs do país em 2025. São Paulo, 2026. Disponível em: https://axia.com.br/w/premio-irecs-2025. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"CANAL SOLAR. Voltalia é a empresa que mais emitiu certificados REC Brazil em 2024. Campinas, 2025. Disponível em: https://canalsolar.com.br/voltalia-mais-emitiu-certificados-rec-brazil-2024/. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"CANALENERGIA. Axia Energia é maior emissora de I-RECs em 2025. Rio de Janeiro, 2026. Disponível em: https://www.canalenergia.com.br/noticias/53343739/axia-energia-e-maior-emissora-de-i-recs-em-2025. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"CLICK PETRÓLEO E GÁS. Voltalia lidera emissões de certificados REC em 2024. Macaé, 2025. Disponível em: https://clickpetroleoegas.com.br/voltalia-lidera-mercado-certificados-rec-2024/. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"COMERC ENERGIA. Negociação de certificados I-REC no Brasil alcança recorde histórico em 2024. Blog Panorama, São Paulo, 2025. Disponível em: https://www.comerc.com.br/panorama/recorde-historico-negociacao-certificados-i-rec-brasil-2024. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"TRENDSCE. I-REC: Certificação de energia renovável cresce no Brasil e se torna essencial para empresas. Fortaleza, 2025. Disponível em: https://www.trendsce.com.br/2025/03/27/i-rec-certificacao-de-energia-renovavel-cresce-no-brasil-e-se-torna-essencial-para-empresas/. Acesso em: 8 jun. 2026.",,,,,,,
