ranking,empresa,setor,volume_2024,volume_2025,delta_pct,region
1,Microsoft,Tecnologia,5.5,29.5,81.36,world
2,Shell,Energia,14.5,9.75,-48.72,world
3,AtmosClear,CDR Tech,0.32,6.75,95.26,world
4,Eni,Energia,3.58,6.44,44.41,world
5,Banco Votorantim,Financeiro,3.8,5.2,26.92,world
6,Netflix,Media/Tech,0.82,4.8,82.92,world
7,Stockholm Exergi,Energia,0.3,3.3,90.91,world
8,Guacolda Energía,Energia,1.8,3.1,41.94,world
9,Organizacion Terpel,Energia,1.6,2.4,33.33,world
10,CO280,CDR Tech,0.25,2.0,87.5,world
