Ranking,Empresa,Setor,Papel no Mercado,Volume 2024 (I-RECs Est./Rep.),Volume 2025 (I-RECs Proj./Rep.),Delta (#),Delta (%),Volume 2026 (Year to date Est.)
1,Amazon,Tecnologia / E-commerce,Comprador,78400000,91200000,,16.33,
2,Microsoft,Tecnologia / Cloud,Comprador,55200000,68500000,,24.09,
3,Meta Platforms,Tecnologia / Social Media,Comprador,42100000,48900000,,16.15,
4,Google (Alphabet),Tecnologia / Cloud,Comprador,38600000,45300000,,17.36,
5,Walmart,Varejo e Consumo,Comprador,15800000,18200000,,15.19,
6,Apple,Tecnologia / Hardware,Comprador,14300000,16500000,,15.38,
7,Samsung Electronics,Manufatura / Eletrônicos,Comprador,12100000,14800000,,22.31,
8,TSMC,Semicondutores,Comprador,11500000,13900000,,20.87,
9,T-Mobile USA,Telecomunicações,Comprador,9800000,11200000,,14.29,
10,Intel Corporation,Semicondutores,Comprador,9200000,10500000,,14.13
